City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Gat,IL,2022-02-13 21:51:40,31.61,34.7642,56.39,81,11,2.48
147,Neiafu,TO,2022-02-13 21:51:40,-18.65,-173.9833,84.88,74,40,11.5
148,Albany,US,2022-02-13 21:47:26,42.6001,-73.9662,25.09,54,100,1.01
149,Bilibino,RU,2022-02-13 21:51:41,68.0546,166.4372,-32.19,100,86,2.51
150,Assiniboia,CA,2022-02-13 21:51:42,49.6334,-105.9845,40.91,60,23,26.46
151,Jiujiang,CN,2022-02-13 21:51:42,29.7333,115.9833,45.21,81,100,2.51
152,Kontagora,NG,2022-02-13 21:51:43,10.3999,5.4695,81.01,15,11,5.28
153,North Platte,US,2022-02-13 21:47:29,41.1239,-100.7654,59.07,22,0,16.11
154,Lebu,CL,2022-02-13 21:51:44,-37.6167,-73.65,63.73,77,72,8.59
155,Haileybury,CA,2022-02-13 21:51:44,47.449,-79.6373,-7.02,90,94,2.71
156,Puerto Ayora,EC,2022-02-13 21:51:45,-0.7393,-90.3518,82.36,88,90,4.0
157,Bambous Virieux,MU,2022-02-13 21:51:45,-20.3428,57.7575,81.21,89,75,11.5
158,Mumford,GH,2022-02-13 21:51:46,5.2618,-0.759,79.63,82,80,8.7
159,Hay River,CA,2022-02-13 21:51:46,60.8156,-115.7999,-9.42,70,75,1.14
160,Nuuk,GL,2022-02-13 21:51:47,64.1835,-51.7216,4.64,93,100,3.67
161,Coihaique,CL,2022-02-13 21:51:48,-45.5752,-72.0662,76.95,33,0,8.05
162,Bayir,TR,2022-02-13 21:51:48,37.2687,28.2167,39.72,90,9,3.56
163,Bachatskiy,RU,2022-02-13 21:51:49,54.2927,86.1285,19.76,91,100,11.16
164,Moreira Sales,BR,2022-02-13 21:51:49,-24.0622,-53.0069,76.66,70,52,4.47
165,Bathsheba,BB,2022-02-13 21:51:50,13.2167,-59.5167,79.41,65,75,19.57
166,Virginia,US,2022-02-13 21:47:55,37.5481,-77.4467,34.54,87,100,12.66
167,Kavieng,PG,2022-02-13 21:51:51,-2.5744,150.7967,82.08,76,97,6.2
168,Longyearbyen,SJ,2022-02-13 21:51:51,78.2186,15.6401,10.44,95,100,2.19
169,Geilo,NO,2022-02-13 21:51:52,60.5333,8.2076,33.69,94,100,3.09
170,Aleksinac,RS,2022-02-13 21:51:53,43.5417,21.7078,37.69,73,99,4.61
171,Cernilov,CZ,2022-02-13 21:51:53,50.2627,15.9225,36.21,76,0,10.07
172,Eyl,SO,2022-02-13 21:51:54,7.9803,49.8164,74.28,68,90,15.95
173,Mount Gambier,AU,2022-02-13 21:51:55,-37.8333,140.7667,64.31,77,75,12.66
174,Avarua,CK,2022-02-13 21:51:56,-21.2078,-159.775,80.65,78,75,2.3
175,Barrow,US,2022-02-13 21:47:26,71.2906,-156.7887,-27.38,68,20,10.36
176,Kuusamo,FI,2022-02-13 21:51:57,65.9667,29.1833,23.04,93,100,9.22
177,Ribeira Grande,PT,2022-02-13 21:51:58,38.5167,-28.7,55.8,71,40,5.75
178,Berlevag,NO,2022-02-13 21:51:58,70.8578,29.0864,22.95,86,75,23.02
179,Kruisfontein,ZA,2022-02-13 21:52:59,-34.0033,24.7314,65.32,84,23,6.78
180,Yellowknife,CA,2022-02-13 21:49:34,62.456,-114.3525,-9.71,63,20,4.61
181,Shimoda,JP,2022-02-13 21:53:00,34.6667,138.95,36.1,90,100,20.09
182,Port Blair,IN,2022-02-13 21:53:00,11.6667,92.75,73.44,73,20,2.3
183,Lavrentiya,RU,2022-02-13 21:53:01,65.5833,-171.0,-20.25,93,30,2.73
184,Ambilobe,MG,2022-02-13 21:53:03,-13.2,49.05,72.79,94,66,1.99
185,Iskateley,RU,2022-02-13 21:53:03,67.6803,53.1512,-1.23,98,54,8.48
186,Khorramshahr,IR,2022-02-13 21:48:25,30.4397,48.1664,57.16,58,0,4.61
187,Morros,BR,2022-02-13 21:53:04,-9.4467,-46.3003,74.07,85,49,1.68
188,Codrington,AU,2022-02-13 21:53:05,-38.2667,141.9667,64.83,75,75,7.9
189,Kungurtug,RU,2022-02-13 21:48:15,50.5994,97.5228,-23.62,97,95,1.74
190,Marsa Matruh,EG,2022-02-13 21:53:06,31.3525,27.2453,55.6,71,20,6.91
191,Tessalit,ML,2022-02-13 21:53:06,20.1986,1.0114,65.98,17,14,9.19
192,Sur,OM,2022-02-13 21:53:07,22.5667,59.5289,71.55,70,0,11.48
193,Hambantota,LK,2022-02-13 21:53:08,6.1241,81.1185,73.74,100,40,2.3
194,Keti Bandar,PK,2022-02-13 21:53:08,24.1447,67.4497,68.2,59,0,7.81
195,Abu Zabad,SD,2022-02-13 21:53:09,12.35,29.25,67.82,16,16,12.84
196,Mount Isa,AU,2022-02-13 21:53:09,-20.7333,139.5,76.77,69,24,0.0
197,Saint-Pierre,RE,2022-02-13 21:53:10,-21.3393,55.4781,78.48,83,0,13.8
198,Ucluelet,CA,2022-02-13 21:51:51,48.9329,-125.5528,52.09,62,99,1.99
199,Christchurch,NZ,2022-02-13 21:49:15,-43.5333,172.6333,61.03,83,100,8.05
200,Tacuati,PY,2022-02-13 21:53:11,-23.45,-56.5833,90.57,34,75,3.27
201,Klaksvik,FO,2022-02-13 21:53:12,62.2266,-6.589,34.72,70,100,30.11
202,East London,ZA,2022-02-13 21:53:12,-33.0153,27.9116,72.91,83,83,10.13
203,Drayton Valley,CA,2022-02-13 21:53:13,53.2168,-114.9854,34.92,91,99,1.3
204,Leningradskiy,RU,2022-02-13 21:53:14,69.3833,178.4167,-17.23,92,94,6.17
205,Flin Flon,CA,2022-02-13 21:50:37,54.7682,-101.865,8.44,66,20,10.36
206,Urengoy,RU,2022-02-13 21:53:15,65.9667,78.3667,-8.16,97,34,10.13
207,Norman Wells,CA,2022-02-13 21:53:15,65.282,-126.8329,-9.36,64,75,3.44
208,Liwale,TZ,2022-02-13 21:53:16,-9.7667,37.9333,69.46,98,83,7.27
209,Borskoye,RU,2022-02-13 21:53:17,53.0333,51.7167,20.01,97,99,7.05
210,Ishigaki,JP,2022-02-13 21:53:18,24.3448,124.1572,64.53,94,75,16.11
211,Pangnirtung,CA,2022-02-13 21:53:18,66.1451,-65.7125,-25.6,68,40,6.91
212,Ust-Barguzin,RU,2022-02-13 21:53:19,53.45,108.9833,-19.64,93,79,6.08
213,Groton,US,2022-02-13 21:50:18,41.3501,-72.0784,31.1,81,100,9.22
214,Vagur,FO,2022-02-13 21:53:20,61.4732,-6.8119,36.28,77,100,33.02
215,Goderich,CA,2022-02-13 21:53:20,43.7501,-81.7165,15.91,79,100,3.44
216,Umm Kaddadah,SD,2022-02-13 21:49:14,13.6017,26.6876,64.92,18,13,14.2
217,Acapulco,MX,2022-02-13 21:49:22,16.8634,-99.8901,84.63,55,70,8.9
218,Ternate,ID,2022-02-13 21:53:21,0.8,127.4,79.7,77,100,1.77
219,Maputo,MZ,2022-02-13 21:53:22,-25.9653,32.5892,79.23,80,20,5.99
220,Salalah,OM,2022-02-13 21:53:23,17.0151,54.0924,72.0,35,0,17.36
221,Carnarvon,AU,2022-02-13 21:53:23,-24.8667,113.6333,77.07,88,3,0.0
222,Cidreira,BR,2022-02-13 21:53:24,-30.1811,-50.2056,69.21,93,100,1.88
223,Nantucket,US,2022-02-13 21:48:36,41.2835,-70.0995,38.14,84,100,15.95
224,Gunnedah,AU,2022-02-13 21:54:25,-30.9833,150.25,69.42,53,5,7.76
225,Areosa,PT,2022-02-13 21:54:30,41.7178,-8.8571,52.36,75,19,12.62
226,Jiwani,PK,2022-02-13 21:54:34,25.05,61.7417,71.11,69,98,5.17
227,High Level,CA,2022-02-13 21:54:37,58.5169,-117.136,3.31,72,75,2.3
228,Lagos,NG,2022-02-13 21:51:03,6.5833,3.75,84.52,81,23,5.57
229,Labuhan,ID,2022-02-13 21:54:38,-6.8844,112.2051,75.7,91,100,5.35
230,Grand Gaube,MU,2022-02-13 21:54:39,-20.0064,57.6608,81.37,77,91,5.99
231,Santiago Del Estero,AR,2022-02-13 21:54:39,-27.7951,-64.2615,83.68,24,0,6.71
232,Surgut,RU,2022-02-13 21:49:47,61.25,73.4167,-10.91,76,0,8.99
233,Bonavista,CA,2022-02-13 21:54:40,48.6499,-53.1147,38.12,76,100,19.06
234,Chemax,MX,2022-02-13 21:54:41,20.65,-87.9333,76.48,64,81,8.37
235,Vigia Del Fuerte,CO,2022-02-13 21:54:42,6.5789,-76.8863,77.81,93,96,2.26
236,North Bend,US,2022-02-13 21:54:42,43.4065,-124.2243,60.93,87,0,12.66
237,Bethel,US,2022-02-13 21:54:43,41.3712,-73.414,29.93,69,100,4.0
238,Lagunas,PE,2022-02-13 21:54:44,-5.2269,-75.6753,86.05,59,98,1.14
239,Itanagar,IN,2022-02-13 21:54:44,27.1,93.6167,52.02,75,0,4.14
240,The Valley,AI,2022-02-13 21:54:45,18.217,-63.0578,76.86,83,75,19.57
241,Sorong,ID,2022-02-13 21:54:46,-0.8833,131.25,76.75,90,100,6.73
242,Los Llanos De Aridane,ES,2022-02-13 21:54:46,28.6585,-17.9182,60.55,72,0,8.99
243,Payakumbuh,ID,2022-02-13 21:54:47,-0.2202,100.6308,67.64,95,100,2.19
244,Ngunguru,NZ,2022-02-13 21:54:48,-35.6167,174.5,69.17,61,90,8.03
245,Torbay,CA,2022-02-13 21:54:48,47.6666,-52.7314,37.58,69,100,21.85
246,Port Keats,AU,2022-02-13 21:54:49,-14.25,129.55,74.44,86,66,5.68
247,Sao Joao Da Barra,BR,2022-02-13 21:54:49,-21.6403,-41.0511,78.89,89,6,10.51
248,Barcelos,PT,2022-02-13 21:54:50,41.5388,-8.6151,51.94,85,22,6.06
249,Brae,GB,2022-02-13 21:54:50,60.3964,-1.353,40.91,87,97,14.56
250,Faanui,PF,2022-02-13 21:54:51,-16.4833,-151.75,80.76,74,100,14.63
251,Sibulao,PH,2022-02-13 21:54:51,7.3242,122.2394,74.7,86,95,1.28
252,Biak,ID,2022-02-13 21:54:53,-0.9131,122.8766,75.18,85,100,6.11
253,Lasa,IT,2022-02-13 21:54:53,46.6166,10.7002,29.66,63,1,2.17
254,Dingle,PH,2022-02-13 21:54:54,10.9995,122.6711,73.98,94,96,6.51
255,Yurty,RU,2022-02-13 21:54:54,56.0498,97.6348,-20.04,100,21,4.56
256,Port Hedland,AU,2022-02-13 21:54:56,-20.3167,118.5667,80.65,78,7,9.22
257,Blackpool,GB,2022-02-13 21:54:56,53.8167,-3.05,46.35,92,100,14.32
258,Palimbang,PH,2022-02-13 21:54:57,6.2106,124.1894,76.6,80,100,4.05
259,Arman,RU,2022-02-13 21:54:57,59.7,150.1667,-10.12,79,35,9.71
260,Acarau,BR,2022-02-13 21:54:58,-2.8856,-40.12,79.93,79,10,15.48
261,Reinosa,ES,2022-02-13 21:54:58,42.9996,-4.138,45.05,89,100,7.09
262,Arraial Do Cabo,BR,2022-02-13 21:54:59,-22.9661,-42.0278,78.76,83,20,12.66
263,Kaitangata,NZ,2022-02-13 21:54:59,-46.2817,169.8464,61.93,60,8,0.2
264,Ilulissat,GL,2022-02-13 21:55:00,69.2167,-51.1,1.63,86,100,22.95
265,Alofi,NU,2022-02-13 21:55:00,-19.0595,-169.9187,84.09,70,100,10.36
266,Mae Hong Son,TH,2022-02-13 21:55:01,19.3003,97.9685,55.85,39,49,2.19
